user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|comment
kelle001|比亚迪F3论坛|1036|好评|最满意的当然是空间和性价比了，在盒子和国产车里面，比亚迪系列的车性价比绝对是第一的，这一点无可厚非，在一个就是空间了，微型车的价格紧凑型车的空间，家用绝对包你满意。
kelle001|比亚迪F3论坛|1034|好评|油耗及性价比空间还有操控绝对满意
kelle001|比亚迪F3论坛|1035|差评|最不喜欢的就是无前阅读灯，无后备箱灯，无前雾灯，不过这些都可以后期自己安装
kelle001|比亚迪F3论坛|1032|差评|还有一个问题就是A柱挡视线，这点有点设计问题啊，白天还强点，晚上得很小心得看才能看到
kelle001|比亚迪F3论坛|1032|好评|F3的空间是最满意的，前排级后排还有后备箱，不管谁上车看看都说这车的空间真大，真对得起这个价格
kelle001|比亚迪F3论坛|1035|好评|1.5的排量自己开的话动力很好，没有所谓的肉的感觉，虽然没有神车高尔夫的推背感，但是还是可以的完全满足家用
kelle001|比亚迪F3论坛|1046|好评|都说F3车方向沉，指向不准，不好挂档，但是我感觉没有这些毛病，操控没的说
kelle001|比亚迪F3论坛|1034|好评|比我开过的有些车要好多了，主要是F3论坛给力195的宽胎，抓地力好跑起来稳，高速行车躲避垃圾很给力，F3毕竟出了这么多年了，已经调教的很好了，不会像别人说的那么不堪
kelle001|比亚迪F3论坛|1035|好评|都是真皮座椅，这点比亚迪做的非常厚道，比起某些合资车加钱才能换真皮座椅强多了
kelle001|比亚迪F3论坛|1040|好评|个人感觉比这个价位的其他自主车要好，前脸和45度最给力一点不像5万级别的车
kelle001|比亚迪F3论坛|1045|差评|唯一的就是听说车漆有点薄，但是暂时没反应不出来，新车比较爱惜，没划过也没蹭过，这点以后再做评价
kelle001|比亚迪F3论坛|1030|差评|用的塑料比较多，新车有点味
kelle001|比亚迪F3论坛|1038|中评|但是大约4-5天左右基本就散味了，做工比较平庸吧
流落指间De沙|比亚迪论坛|7722|好评|杯槽等实用的储物空间
流落指间De沙|比亚迪论坛|7703|好评|CAN-BUS电子智能管家等便捷式操作
流落指间De沙|比亚迪论坛|7719|好评|智能滚码加密防盗
流落指间De沙|比亚迪论坛|7712|好评|搭载Keyless无钥匙系统，轻松实现无钥匙进入
流落指间De沙|比亚迪论坛|7711|好评|再有中央扶手箱
流落指间De沙|比亚迪论坛|7713|中评|磨合期过后百公里平均油耗在6L左右
流落指间De沙|比亚迪论坛|7718|好评|SD卡+USB+AUX接口
流落指间De沙|比亚迪论坛|7708|好评|车载蓝牙/电视
流落指间De沙|比亚迪论坛|7719|好评|6扬声器等娱乐配置
流落指间De沙|比亚迪论坛|7716|好评|ESP系统
流落指间De沙|比亚迪论坛|7721|好评|倒车可视系统、
流落指间De沙|比亚迪论坛|7719|好评|ISOFIX儿童座椅接口等齐发力
流落指间De沙|比亚迪论坛|7717|好评|四门文件袋
流落指间De沙|比亚迪论坛|7712|好评|手机盒
流落指间De沙|比亚迪论坛|7706|好评|空间表现上十分给力
流落指间De沙|比亚迪论坛|7721|好评|舒适大空间
流落指间De沙|比亚迪论坛|7709|好评|它时尚的外形
流落指间De沙|比亚迪论坛|7712|好评|NAVI语音电子导航系统
流落指间De沙|比亚迪论坛|7705|好评|以及430L的人性化行李箱，必备物品一个不落
ntsygscux||323|差评|高速噪音大，
ntsygscux||315|差评|灯光有点暗
jjbjjy59|比亚迪F3论坛|1107|好评|目前还真没遇到什么大的问题，异响是有的，对我来说无关紧要，车就是开的，哪有十全十美的东西呢，你说对吧，唯一的小问题就是驾驶侧的玻璃升降有点小问题，有点响声往下降得时候，有空再看看怎么回事吧。
不鸣则已v|比亚迪F3论坛|5577|好评|性感的PP
不鸣则已v|比亚迪F3论坛|5574|好评|棱角分明的前脸
不鸣则已v|比亚迪F3论坛|5574|好评|让你们近距离看下，PP非常饱满哟！
不鸣则已v|比亚迪F3论坛|5567|好评|大灯的设计还是很带感的，回头换个氙气灯肯定超级拉风~等有时间我就把灯给改下！
不鸣则已v|比亚迪F3论坛|5578|差评|车内有些味道，不过开窗散散就好了
不鸣则已v|比亚迪F3论坛|5569|好评|别的没啥毛病，车速提到120依旧很稳
不鸣则已v|比亚迪F3论坛|5598|好评|要说F3最大的优点，那省油肯定是排第一位的
不鸣则已v|比亚迪F3论坛|5579|好评|内部空间在紧凑型轿车里绝对算的上佼佼者了
不鸣则已v|比亚迪F3论坛|5573|好评|带天窗的效果会更好，后排空间除非是2M以上的人，否则基本是不顶脚的
不鸣则已v|比亚迪F3论坛|5577|好评|内饰做工细致。
39度2014|比亚迪F3论坛|4427|好评|小清新的设计风格 年轻小伙伴们的“菜” 这还是第一次近距离接触全新F3，采用了家族式设计风格，有了更鲜明的性格特征。车身线条丰润之余又凹凸有致，整体上大方、耐看，细节搭配和谐。试驾当天遇上淅淅沥沥的小雨，竟然有种清新美。全新F3的外观，应该能吸纳一批首次购车的年轻群体。 
39度2014|比亚迪F3论坛|4430|好评|坐进车内，更多的惊喜在等着我。全新F3采用上深下浅的颜色搭配，摒弃了之前的桃木装饰，并融入了大量银色亮饰条，车厢氛围现代感十足，细节做工和接缝上也比较精致。
39度2014|比亚迪F3论坛|4444|好评|空间方面表现更加抢眼，依照小编180cm的个头，前排头部距离车顶还有3指的空间，后排头部有4指的空间，腿部距离前排座椅靠背差不多1个拳头的空间。除了平时个人的上下班代步以外，像搬运私人物品、家庭日常用品以及全家自驾游这些活儿，全新F3都能一并承包了。显然，全新F3充裕的空间也印证了它“城市代步、家庭休闲”车型定位。
39度2014|比亚迪F3论坛|4433|好评|动力给力 城市代步+家庭休闲很“ok” 配置表显示全新F3有三种动力选择，小编此次试驾的是1.5L 手动尊贵型，这也是厂家主推车型之一。它搭载的是BYD473QE全铝合金发动机，最大功率为80kW/5800rpm，峰值扭矩145N.m/4800rpm，城市代步、家庭休闲恰到好处。 
39度2014|比亚迪F3论坛|4430|好评|如果光看数值上的表现没有十足的说服力，那不妨坐进驾驶室出去兜兜风。全新F3在起步和加速时能明显感觉到推背感，这样的加速感跟采用了小排量涡轮增压车型竟有相似之处，给我不小的惊喜。发动机在高转速时采用长行程来提高进气效率让发动机的呼吸更顺畅，从而能在更低转速的情况下输出比更大排量的自然吸气发动机更高的功率。这样的特性让全新F3后劲十足，以时速120km/h匀速行驶时，发动机的转速在2500rpm，燃油经济性也非常出色。 
39度2014|比亚迪F3论坛|4445|好评|对于城市上班族，买车的最大用途就是上下班代步，偶尔还会有全家自驾游。即使车上多了几个人，遇上崎岖山路，同样的坡度很多车三档都有些费劲儿，比亚迪全新F3 1.5L手动尊贵型四档即能轻松上去，真心给力！
39度2014|比亚迪F3论坛|4445|好评|操控精准 畅游城市乡间 众所周知，汽车发烧友对车辆的操控性一向很挑剔，笔者也不例外。试驾了全新F3，其操控性算是令人满意的。主要表现在：方向定位敏捷而准确。比亚迪全新F3配备的方向盘轻重适中，操控精准，能够把清晰的路感传递给驾驶员。另外，全新F3采用的是麦弗逊式独立悬架，使车前方能够很好的控制侧向力，任其路面颠簸，轮胎前束变化也很小，高速转弯时也不会让人感到有明显的侧倾，乘坐安逸，舒适节奏走起。 
39度2014|比亚迪F3论坛|4437|好评|配置丰富 娱乐+安全一个都不能少 在同级车中，配置丰富无疑是全新F3的杀手锏。7英寸电容触摸屏，具有蓝牙、电视、倒车影像等功能，常见的SD卡、USB、AUX插槽也一应俱全，还有智能化的配置keyless无钥匙进入系统等等，方便驾驶者的同时，也为驾乘者带来一级棒的娱乐体验。在安全方面，全新F3配备了博世第九代ESP系统，就小编所了解，这是当前汽车防滑装置的最高形式，非常靠谱。 
wdaizj|比亚迪F3论坛|1313|好评|胎噪很小
wdaizj|比亚迪F3论坛|1322|好评|油耗还可以
wdaizj|比亚迪F3论坛|1311|好评|指向性很好
wdaizj|比亚迪F3论坛|1315|好评|空间宽敞
wdaizj|比亚迪F3论坛|1311|差评|路感强
wdaizj|比亚迪F3论坛|1323|差评|110时候方向盘抖
波波f|比亚迪论坛|1914|好评|噪音不是很大能在接受的范围内
